name,email,birthdate,signup_date,category,purchase_amount,age,age_flag,birthdate_str,days_since_signup,signup_date_str,date_consistency
Linda Gonzalez,solomonmary@ross.net,1976-10-03,2023-12-26,Toys,248.52,49,Valid,03-10-1976,485,26-12-2023,Valid
Marie Hoffman,no_email@unknown.com,1991-12-06,2023-12-24,Toys,73.16,34,Valid,06-12-1991,487,24-12-2023,Valid
Vincent Chung,sberry@hotmail.com,1977-06-04,2023-05-17,Furniture,423.59,48,Valid,04-06-1977,708,17-05-2023,Valid
Karen Martin,payneapril@anderson.com,1962-06-12,2023-02-27,Groceries,397.14,63,Valid,12-06-1962,787,27-02-2023,Valid
Unknown,pfranklin@peters.com,1999-10-03,2025-02-15,Books,112.56,26,Valid,03-10-1999,68,15-02-2025,Valid
Amber Alvarez,rangelangelica@hotmail.com,1963-09-18,2024-02-01,Electronics,241.39,62,Valid,18-09-1963,448,01-02-2024,Valid
Daniel Espinoza,hwilliams@howard.org,2006-01-13,2024-06-22,Furniture,395.15,19,Valid,13-01-2006,306,22-06-2024,Valid
Kimberly Osborne,stephensjulie@yahoo.com,1963-10-12,2022-09-13,Beauty,131.61,62,Valid,12-10-1963,954,13-09-2022,Valid
Alicia Ortiz,prattana@miller.com,1995-12-01,2024-12-10,Furniture,376.71,30,Valid,01-12-1995,135,10-12-2024,Valid
Sara Davis,hernandezjohn@yahoo.com,1970-06-27,2024-03-15,Groceries,186.64,55,Valid,27-06-1970,405,15-03-2024,Valid
Brianna Baldwin,qkline@alvarez-lewis.com,2001-01-06,2022-08-03,Beauty,80.81,24,Valid,06-01-2001,995,03-08-2022,Valid
Christopher Vasquez,dwalters@hotmail.com,1961-05-05,2024-03-01,Sports,397.76,64,Valid,05-05-1961,419,01-03-2024,Valid
Rachel Miller,fgray@jackson-hull.com,1990-06-18,2022-11-17,Furniture,218.35,35,Valid,18-06-1990,889,17-11-2022,Valid
Cory Barber,susanvaldez@yahoo.com,1987-01-08,2022-07-05,Books,224.02,38,Valid,08-01-1987,1024,05-07-2022,Valid
Matthew Mcmillan,jamesadkins@yahoo.com,1955-08-19,2023-07-11,Furniture,146.6,70,Valid,19-08-1955,653,11-07-2023,Valid
Carol Buck,harrisnina@gutierrez-chavez.net,1986-10-06,2024-03-12,Clothing,61.51,39,Valid,06-10-1986,408,12-03-2024,Valid
Brent James,cmolina@hotmail.com,1957-10-28,2022-11-01,Beauty,58.28,68,Valid,28-10-1957,905,01-11-2022,Valid
